2022-07-25 21:07:424 INFO  ManageDriver :30 - Launching Chrome Browser
2022-07-25 21:07:968 INFO  CalculateHolidayEntitlementPage :74 - Clicking on Accept Cookies : [[ChromeDriver: chrome on WINDOWS (3dea56364784e2e0f8f09223547bdf8a)] -> xpath: //button[contains(text(),'Accept additional cookies')]]
2022-07-25 21:07:132 INFO  CalculateHolidayEntitlementPage :79 - Clicking on Start Button : [[ChromeDriver: chrome on WINDOWS (3dea56364784e2e0f8f09223547bdf8a)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2022-07-25 21:07:326 INFO  CalculateHolidayEntitlementPage :85 - Clicking on Days Worked Per Week : [[ChromeDriver: chrome on WINDOWS (3dea56364784e2e0f8f09223547bdf8a)] -> xpath: //input[@id='response-0']]
2022-07-25 21:07:503 INFO  CalculateHolidayEntitlementPage :91 - Clicking on Full Leave Year : [[ChromeDriver: chrome on WINDOWS (3dea56364784e2e0f8f09223547bdf8a)] -> xpath: //input[@id='response-0']]
2022-07-25 21:07:800 INFO  CalculateHolidayEntitlementPage :97 - Clicking on Enter Days Worked Per Week : [[ChromeDriver: chrome on WINDOWS (3dea56364784e2e0f8f09223547bdf8a)] -> xpath: //input[@id='response']]
2022-07-25 21:07:408 INFO  ManageDriver :30 - Launching Chrome Browser
2022-07-25 21:07:943 INFO  CalculateHolidayEntitlementPage :74 - Clicking on Accept Cookies : [[ChromeDriver: chrome on WINDOWS (3a45246819aea2242e62ce83c084e578)] -> xpath: //button[contains(text(),'Accept additional cookies')]]
2022-07-25 21:07:105 INFO  CalculateHolidayEntitlementPage :79 - Clicking on Start Button : [[ChromeDriver: chrome on WINDOWS (3a45246819aea2242e62ce83c084e578)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2022-07-25 21:07:327 INFO  CalculateHolidayEntitlementPage :104 - Clicking on Hours Worked  : [[ChromeDriver: chrome on WINDOWS (3a45246819aea2242e62ce83c084e578)] -> xpath: //input[@id='response-1']]
2022-07-25 21:07:516 INFO  CalculateHolidayEntitlementPage :110 - Clicking on Full Leave Year : [[ChromeDriver: chrome on WINDOWS (3a45246819aea2242e62ce83c084e578)] -> xpath: //input[@id='response-0']]
2022-07-25 21:07:697 INFO  CalculateHolidayEntitlementPage :116 - Clicking on Hours Worked Per Week  : [[ChromeDriver: chrome on WINDOWS (3a45246819aea2242e62ce83c084e578)] -> xpath: //input[@id='response']]
